Designator;Comment;Layer;Footprint;Center-X(mm);Center-Y(mm);Rotation;Description
C39;CAP_CERAMIC;TopLayer;C0603_N;79,9999;72,8999;0;Capacitor Ceramic
C38;CAP_CERAMIC;TopLayer;C0603_N;54,9999;72,8999;0;Capacitor Ceramic
C37;CAP_CERAMIC;TopLayer;C0603_N;29,9999;72,8999;0;Capacitor Ceramic
C36;CAP_CERAMIC;TopLayer;C0603_N;4,9999;72,8999;0;Capacitor Ceramic
C35;CAP_CERAMIC;TopLayer;C0603_N;-20,0001;72,8999;0;Capacitor Ceramic
C34;CAP_CERAMIC;TopLayer;C0603_N;154,9999;97,8999;0;Capacitor Ceramic
C33;CAP_CERAMIC;TopLayer;C0603_N;129,9999;97,8999;0;Capacitor Ceramic
C32;CAP_CERAMIC;TopLayer;C0603_N;104,9999;97,8999;0;Capacitor Ceramic
C31;CAP_CERAMIC;TopLayer;C0603_N;79,9999;97,8999;0;Capacitor Ceramic
C30;CAP_CERAMIC;TopLayer;C0603_N;54,9999;97,8999;0;Capacitor Ceramic
C29;CAP_CERAMIC;TopLayer;C0603_N;29,9999;97,8999;0;Capacitor Ceramic
C28;CAP_CERAMIC;TopLayer;C0603_N;4,9999;97,8999;0;Capacitor Ceramic
C27;CAP_CERAMIC;TopLayer;C0603_N;-20,0001;97,8999;0;Capacitor Ceramic
C26;CAP_CERAMIC;TopLayer;C0603_N;154,9999;122,8999;0;Capacitor Ceramic
C25;CAP_CERAMIC;TopLayer;C0603_N;129,9999;122,8999;0;Capacitor Ceramic
C24;CAP_CERAMIC;TopLayer;C0603_N;104,9999;122,8999;0;Capacitor Ceramic
C23;CAP_CERAMIC;TopLayer;C0603_N;79,9999;122,8999;0;Capacitor Ceramic
C22;CAP_CERAMIC;TopLayer;C0603_N;54,9999;122,8999;0;Capacitor Ceramic
C21;CAP_CERAMIC;TopLayer;C0603_N;29,9999;122,8999;0;Capacitor Ceramic
C20;CAP_CERAMIC;TopLayer;C0603_N;4,9999;122,8999;0;Capacitor Ceramic
C19;CAP_CERAMIC;TopLayer;C0603_N;-20,0001;122,8999;0;Capacitor Ceramic
C18;;TopLayer;C0603_N;79,4001;189,2999;90;Capacitor Ceramic
C17;;TopLayer;C0603_N;80,8001;189,2999;90;Capacitor Ceramic
C16;CAP_CERAMIC;TopLayer;C0603_N;154,9999;147,8999;0;Capacitor Ceramic
C15;CAP_CERAMIC;TopLayer;C0603_N;129,9999;147,8999;0;Capacitor Ceramic
C14;CAP_CERAMIC;TopLayer;C0603_N;104,9999;147,8999;0;Capacitor Ceramic
C13;CAP_CERAMIC;TopLayer;C0603_N;79,9999;147,8999;0;Capacitor Ceramic
C12;CAP_CERAMIC;TopLayer;C0603_N;54,9999;147,8999;0;Capacitor Ceramic
C11;CAP_CERAMIC;TopLayer;C0603_N;29,9999;147,8999;0;Capacitor Ceramic
C10;CAP_CERAMIC;TopLayer;C0603_N;4,9999;147,8999;0;Capacitor Ceramic
C9;CAP_CERAMIC;TopLayer;C0603_N;-20,0001;147,8999;0;Capacitor Ceramic
C8;CAP_CERAMIC;TopLayer;C0603_N;154,9999;172,8999;0;Capacitor Ceramic
C7;CAP_CERAMIC;TopLayer;C0603_N;129,9999;172,8999;0;Capacitor Ceramic
C6;CAP_CERAMIC;TopLayer;C0603_N;104,9999;172,8999;0;Capacitor Ceramic
C5;CAP_CERAMIC;TopLayer;C0603_N;79,9999;172,8999;0;Capacitor Ceramic
D4;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;-20;100;0;#NAME?
D3;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;-20;125;0;#NAME?
D2;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;-20;150;0;#NAME?
D1;WS2812 based digital RGB LED 2022 package;TopLayer;LED_2022_WS2812B;-20;175;0;#NAME?
C4;CAP_CERAMIC;TopLayer;C0603_N;54,9999;172,8999;0;Capacitor Ceramic
C3;CAP_CERAMIC;TopLayer;C0603_N;29,9999;172,8999;0;Capacitor Ceramic
C2;CAP_CERAMIC;TopLayer;C0603_N;4,9999;172,8999;0;Capacitor Ceramic
C1;CAP_CERAMIC;TopLayer;C0603_N;-20,0001;172,8999;0;Capacitor Ceramic
